ACCX,GYRX,ACCY,GYRY,ACCZ,GYRZ
16680,65184,65516,100,63164,44
16688,65190,65472,150,63180,47
16712,65146,65488,132,63292,55
16640,65167,65524,168,63356,36
16644,65176,65500,128,63168,39
16712,65172,0,117,63184,30
16660,65173,65496,133,63468,33
16732,65158,65460,168,63228,66
16724,65159,16,150,63252,40
16768,65170,20,144,63264,30
16640,65162,65456,138,63268,44
16728,65155,65532,130,63296,7
16628,65176,64,131,63220,35
16696,65179,65516,160,63288,12
16804,65173,40,146,63272,26
16716,65165,65524,112,63288,28
16600,65186,65476,133,63044,13
16664,65149,65412,136,63164,22
16632,65182,65512,164,63252,24
16668,65188,65504,139,63220,14
16612,65178,4,159,63232,36
16716,65175,0,144,63208,13
16752,65162,65508,149,63152,34
16560,65166,65332,166,63236,16
16688,65159,65492,131,63284,37
16624,65182,65460,158,63320,31
16748,65181,65492,113,63300,38
16840,65156,48,139,63332,37
16712,65158,65512,158,63292,35
16684,65174,65460,140,63284,42
16724,65170,65512,179,63160,35
16720,65157,65500,157,63168,20
16716,65159,65528,122,63176,14
16672,65163,65492,169,63172,67
16684,65158,65460,135,63128,53
16664,65181,65504,144,63268,49
16712,65160,84,178,63228,24
16768,65163,12,143,63156,27
16692,65187,65460,147,63216,41
16768,65184,65456,168,63372,45
16600,65170,65512,136,63340,20
16688,65148,65508,129,63308,32
16744,65164,65436,165,63316,42
16576,65161,4,125,63292,30
16716,65173,52,134,63172,5
16664,65181,65480,145,63272,53
16664,65177,65520,146,63268,34
16764,65193,65416,117,63292,51
16652,65165,40,130,63188,27
16632,65149,65452,133,63392,33
16628,65174,65528,178,63300,12
16716,65154,12,170,63088,47
16676,65163,65448,138,63312,46
16692,65169,8,141,63248,23
16728,65177,65500,158,63128,52
16712,65205,65456,167,63200,61
16712,65166,65460,141,63196,45
16728,65171,65452,147,63312,43
16680,65174,48,144,63252,42
16632,65162,65432,108,63172,41
16616,65169,65452,116,63280,61
16716,65174,65504,128,63196,57
16692,65182,65436,156,63276,33
16792,65185,65408,158,63180,60
16728,65172,65516,138,63328,51
16808,65155,65516,133,63256,39
16660,65156,65488,128,63232,33
16668,65176,65512,123,63180,43
16688,65170,65528,157,63244,26
16668,65181,65508,142,63228,32
16592,65187,65480,140,63304,24
16648,65183,65508,127,63388,15
